model,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
LogisticRegression,0.6220748386820161,0.037185826168473414,0.5276488625753333,0.03686396318196705,0.6777011494252874,0.0816062813143312,0.5913245409180734,0.043837662403900045,0.687558712338183,0.03999392396359237
LinearSVM,0.6333043925654384,0.03594722078124084,0.5413581176887627,0.04082619972033811,0.6503448275862069,0.056853693366965385,0.5896606187022208,0.03874766721090123,0.6948081108947187,0.05373769856275322
MultinomialNB,0.6471932814543272,0.04370687065819132,0.6123004442051421,0.0878391516671401,0.3418390804597701,0.1107215790490538,0.4312317327123546,0.11014495194298211,0.6702688356818268,0.07081860180630405
